Date,Code,DataSource,Currency,Price,Quantity,Action,Fee,Note
05-01-2024,AAPL,MANUAL,USD,185.50,10,buy,4.95,Apple Inc
12-01-2024,MSFT,MANUAL,USD,388.00,8,buy,4.95,Microsoft Corporation
19-01-2024,GOOGL,MANUAL,USD,141.80,15,buy,4.95,Alphabet Inc
26-01-2024,AMZN,MANUAL,USD,155.20,12,buy,4.95,Amazon.com Inc
02-02-2024,NVDA,MANUAL,USD,615.00,5,buy,4.95,NVIDIA Corporation
09-02-2024,TSLA,MANUAL,USD,193.50,10,buy,4.95,Tesla Inc
16-02-2024,META,MANUAL,USD,473.00,6,buy,4.95,Meta Platforms Inc
23-02-2024,VOO,MANUAL,USD,452.30,5,buy,0,Vanguard S&P 500 ETF
01-03-2024,VTI,MANUAL,USD,248.60,8,buy,0,Vanguard Total Stock Market ETF
08-03-2024,QQQ,MANUAL,USD,437.50,4,buy,0,Invesco QQQ Trust
15-03-2024,SPY,MANUAL,USD,510.20,3,buy,0,SPDR S&P 500 ETF Trust
22-03-2024,SCHD,MANUAL,USD,78.40,15,buy,0,Schwab US Dividend Equity ETF
29-03-2024,VGT,MANUAL,USD,520.10,4,buy,0,Vanguard Info Technology ETF
05-04-2024,JPM,MANUAL,USD,198.30,8,buy,4.95,JPMorgan Chase & Co
12-04-2024,V,MANUAL,USD,279.50,7,buy,4.95,Visa Inc
19-04-2024,JNJ,MANUAL,USD,148.60,12,buy,4.95,Johnson & Johnson
26-04-2024,UNH,MANUAL,USD,492.80,3,buy,4.95,UnitedHealth Group Inc
03-05-2024,HD,MANUAL,USD,342.10,5,buy,4.95,The Home Depot Inc
10-05-2024,PG,MANUAL,USD,163.70,10,buy,4.95,Procter & Gamble Co
17-05-2024,MA,MANUAL,USD,462.90,5,buy,4.95,Mastercard Inc
24-05-2024,COST,MANUAL,USD,812.50,3,buy,4.95,Costco Wholesale Corp
31-05-2024,KO,MANUAL,USD,63.20,20,buy,4.95,Coca-Cola Company
07-06-2024,PEP,MANUAL,USD,174.80,8,buy,4.95,PepsiCo Inc
14-06-2024,ABBV,MANUAL,USD,167.30,10,buy,4.95,AbbVie Inc
21-06-2024,MRK,MANUAL,USD,128.90,12,buy,4.95,Merck & Co Inc
28-06-2024,LLY,MANUAL,USD,905.40,2,buy,4.95,Eli Lilly and Company
05-07-2024,AVGO,MANUAL,USD,1620.00,3,buy,4.95,Broadcom Inc
12-07-2024,AMD,MANUAL,USD,170.50,15,buy,4.95,Advanced Micro Devices Inc
19-07-2024,CRM,MANUAL,USD,258.30,6,buy,4.95,Salesforce Inc
26-07-2024,NFLX,MANUAL,USD,648.70,4,buy,4.95,Netflix Inc
02-08-2024,DIS,MANUAL,USD,90.20,15,buy,4.95,Walt Disney Company
09-08-2024,PYPL,MANUAL,USD,65.80,12,buy,4.95,PayPal Holdings Inc
16-08-2024,SQ,MANUAL,USD,68.40,10,buy,4.95,Block Inc
23-08-2024,SHOP,MANUAL,USD,67.50,8,buy,4.95,Shopify Inc
30-08-2024,INTC,MANUAL,USD,21.50,25,buy,4.95,Intel Corporation
06-09-2024,VZ,MANUAL,USD,41.30,20,buy,4.95,Verizon Communications Inc
13-09-2024,T,MANUAL,USD,21.80,30,buy,4.95,AT&T Inc
20-09-2024,XOM,MANUAL,USD,116.40,10,buy,4.95,Exxon Mobil Corporation
27-09-2024,CVX,MANUAL,USD,147.60,8,buy,4.95,Chevron Corporation
04-10-2024,BRK-B,MANUAL,USD,460.20,4,buy,4.95,Berkshire Hathaway Inc
11-10-2024,VNQ,MANUAL,USD,85.30,12,buy,0,Vanguard Real Estate ETF
18-10-2024,BND,MANUAL,USD,72.10,15,buy,0,Vanguard Total Bond Market ETF
25-10-2024,VXUS,MANUAL,USD,56.80,20,buy,0,Vanguard Total Intl Stock ETF
01-11-2024,IWM,MANUAL,USD,218.40,6,buy,0,iShares Russell 2000 ETF
08-11-2024,GLD,MANUAL,USD,243.60,5,buy,0,SPDR Gold Shares
15-11-2024,WMT,MANUAL,USD,85.30,10,buy,4.95,Walmart Inc
22-11-2024,TGT,MANUAL,USD,138.50,8,buy,4.95,Target Corporation
29-11-2024,SBUX,MANUAL,USD,98.40,12,buy,4.95,Starbucks Corporation
06-12-2024,NKE,MANUAL,USD,78.60,10,buy,4.95,Nike Inc
